J'ai une fuite d'eau chez moi,urgent
J'ai une fuite de gaz,urgent
Grosse innondation dans ma cuisine,urgent
ça sent le gaz dans mon appartement,urgent
j'ai plus du tout d'éléctricité,urgent
j'ai plus de chauffage,urgent
Mon évier est bouché,urgent
J'ai de l'eau partout le sol,urgent
J'ai une canalisation qui a pétée,urgent
J'ai plusieurs canalisations bouchées,urgent
J'ai une fuite d'eau à l'exterieur,urgent
Il me faut un débouchage de canalisation,urgent
J'ai une fuite sur une canalisation apparente d'alimentation d'eau,urgent
Il y a une fuite visible sur une canalisation,urgent
Il y a une fuite sur un robinet,urgent
