J'ai une fuite d'eau chez moi,0
J'ai une fuite de gaz,0
Grosse innondation dans ma cuisine,0
ça sent le gaz dans mon appartement,0
j'ai plus du tout d'éléctricité,0
j'ai plus de chauffage,0
j'ai ma baignoire qui fuit,0
Mon évier est bouché,0
J'ai de l'eau partout le sol,0
J'ai une canalisation qui a pétée,0
J'ai plusieurs canalisations bouchées,0
J'ai une fuite d'eau à l'exterieur,0
Il me faut un débouchage de canalisation,0
J'ai une fuite sur une canalisation apparente d'alimentation d'eau,0
Il y a une fuite visible sur une canalisation,0
Il y a une fuite sur un robinet,0
J'ai les toilettes bouchées,1
J'ai un robinet cassé,1
J'ai un joint d'étanchéité a changer,1
J'ai un trop-pleins d'évier,1
